stream|stream_partition|ts|kafka_offset
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:15.704000|74607016
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:16.718000|74607022
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:17.733000|74607028
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:18.746000|74607034
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:19.760000|74607040
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:20.774000|74607046
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:21.795000|74607054
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:22.802000|74607060
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:23.816000|74607066
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:24.834000|74607072
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:25.845000|74607078
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:26.858000|74607086
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:27.896000|74607092
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:28.921000|74607103
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:30.915000|74607110
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:31.963000|74607116
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:32.981000|74607128
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:33.990000|74607137
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:35.005000|74607144
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:36.020000|74607149
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:37.032000|74607157
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:38.047000|74607163
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:39.061000|74607169
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:40.891000|74607177
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:42.069000|74607186
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:43.083000|74607193
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:44.096000|74607201
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:45.110000|74607207
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:46.124000|74607215
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:47.138000|74607221
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:48.152000|74607227
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:49.167000|74607233
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:50.196000|74607240
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:51.197000|74607247
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:52.215000|74607252
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:53.222000|74607258
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:54.237000|74607264
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:55.249000|74607270
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:56.265000|74607278
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:57.277000|74607285
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:58.292000|74607292
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:59.306000|74607299
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:00.320000|74607305
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:01.335000|74607311
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:02.349000|74607317
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:03.363000|74607323
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:04.379000|74607329
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:05.390000|74607335
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:06.404000|74607343
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:07.418000|74607349
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:08.442000|74607355
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:09.447000|74607362
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:10.459000|74607370
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:11.475000|74607377
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:12.489000|74607383
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:13.514000|74607389
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:14.520000|74607395
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:15.531000|74607401
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:16.545000|74607408
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:17.558000|74607415
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:18.573000|74607422
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:19.587000|74607428
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:20.603000|74607434
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:21.617000|74607440
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:22.629000|74607446
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:23.641000|74607452
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:24.655000|74607460
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:25.671000|74607467
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:26.705000|74607474
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:27.704000|74607482
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:28.713000|74607486
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:29.727000|74607492
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:30.741000|74607498
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:31.766000|74607505
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:32.769000|74607512
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:33.783000|74607518
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:34.797000|74607525
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:35.810000|74607531
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:36.825000|74607538
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:37.839000|74607546
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:38.853000|74607552
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:39.867000|74607558
